Source,Platform,Title,Type,Original Price,Start/Discovery Date,End Date,URL
API (Ativo),Prime Gaming (Epic),G.I. Joe: Wrath of Cobra,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/gi-joe-wrath-of-cobra-epic/dp/amzn1.pg.item.836bb0d3-ecce-4da0-b763-292ae3f9d362
API (Ativo),Prime Gaming (Epic),Moon Mystery,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/moon-mystery-epic/dp/amzn1.pg.item.fa6ec78f-327e-4dcb-8afe-8eae11afea3b
API (Ativo),Prime Gaming (Epic),Space Grunts: Chrono Shard,Jogo,Incluído no Prime,Disponível,A partir de 25/06/2026,https://luna.amazon.com/claims/space-grunts-chrono-shard-epic/dp/amzn1.pg.item.dbfe54c6-6298-46ec-808d-49d3915b9734
API (Ativo),Prime Gaming (Epic),Steelrising,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/steelrising-epic/dp/amzn1.pg.item.2e34e997-a137-48b3-9b5c-ad2eb51c45f7
API (Ativo),Prime Gaming (Epic),Tomb Raider IV-VI Remastered,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/tomb-raider-iv-vi-remastered-epic/dp/amzn1.pg.item.cba06ec0-64d2-445b-a17b-c3dba13414fe
API (Ativo),Prime Gaming (GOG),Between Time: Escape Room,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/between-time-escape-room-gog/dp/amzn1.pg.item.07c10161-f6df-41bd-9beb-05824a06c78b
API (Ativo),Prime Gaming (GOG),Hiveswap Friendsim,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/hiveswap-friendsim-gog/dp/amzn1.pg.item.8e0d3ee4-446f-435e-bfb4-33fe97d25af8?g=s
API (Ativo),Prime Gaming (GOG),Mafia III: Definitive Edition,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/mafia-iii-definitive-edition-gog/dp/amzn1.pg.item.2d0579a0-585e-4cc9-be76-a5bdb057c440
API (Ativo),Prime Gaming (GOG),Mystic Academy: Escape Room,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/mystic-academy-escape-room-gog/dp/amzn1.pg.item.61f57a96-121c-443f-8432-652773456072
API (Ativo),Prime Gaming (GOG),Paradise Killer,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/paradise-killer-gog/dp/amzn1.pg.item.e97c8537-f08d-4c4f-a5f9-ed4f45c718cb
API (Ativo),Prime Gaming (GOG),Pyramids and Aliens: Escape Room,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/pyramids-and-aliens-escape-room-gog/dp/amzn1.pg.item.ea4a762d-4616-4f5d-af80-61c76ea1abd3
API (Ativo),Prime Gaming (GOG),Right and Down,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/right-and-down-gog/dp/amzn1.pg.item.8fe59485-dd11-4558-9a36-8a9d367b10e9
